COUNTRY,YEAR,adult_population,count_of_atms,count_of_agents,count_of_branches,branches_per_1000_sqkm,branches_per_100k_adults,depositors_per_100k_adults,total_infrastructure_per_100k,efficiency_ratio
Angola,2020,33451132,3148,NULL,1537,1.25,8.94,NULL,NULL,NULL
Angola,2021,34532429,3247,NULL,1496,1.22,8.41,NULL,NULL,NULL
Angola,2022,35635029,3194,368,1461,1.19,7.94,NULL,14.09568096605169,NULL
Angola,2023,36749906,3548,665,1426,1.16,7.49,NULL,15.34425693497012,NULL
Angola,2024,37885849,4127,4922,1415,1.15,7.18,NULL,27.619811291545826,NULL
Botswana,2020,2365894,736,4,132,0.25,9.42,85347,36.857103488152894,2315.6187525
Botswana,2021,2401441,583,NULL,112,0.21,7.86,87322,NULL,NULL
Botswana,2022,2439892,629,13082,128,0.24,8.82,97785,567.197236598997,172.4003462822458
Botswana,2023,2480244,646,15465,139,0.26,9.36,96179,655.1774744742855,146.798392416
Botswana,2024,2521139,649,17613,127,0.24,8.45,90476,729.3925483680193,124.04294532818534
Comoros,2020,802163,30,NULL,15,10.21,4.14,15501,NULL,NULL
Comoros,2021,818174,26,NULL,22,13.97,5.52,16962,NULL,NULL
Comoros,2022,834188,34,NULL,22,13.97,5.39,18738,NULL,NULL
Comoros,2023,850387,40,NULL,23,14.51,5.46,18063,NULL,NULL
Comoros,2024,866628,25,NULL,24,15.05,5.53,19243,NULL,NULL
Eswatini,2020,1192729,289,215,44,2.85,6.69,17776,45.94505541493499,386.8969106569343
Eswatini,2021,1206593,308,NULL,43,2.79,6.44,50479,NULL,NULL
Eswatini,2022,1218917,308,NULL,43,2.79,6.35,118197,NULL,NULL
Eswatini,2023,1230506,329,587,45,2.91,6.53,92188,78.0979531997406,1180.4150585639957
Eswatini,2024,1242822,346,945,45,2.91,6.45,130323,107.49729245217738,1212.3375112724552
Lesotho,2020,2235727,202,346,51,1.81,4.08,44611,26.79217990389703,1665.0754123038398
Lesotho,2021,2261542,203,388,50,1.78,3.94,44340,28.34349306800404,1564.3802227769113
Lesotho,2022,2286110,208,439,50,1.78,3.88,44065,30.48847168333982,1445.3003895265424
Lesotho,2023,2311472,215,597,50,1.78,3.81,47157,37.29225359424644,1264.5253492343386
Lesotho,2024,2337423,211,727,50,1.78,3.75,47484,42.26877206222408,1123.3825276518219
Madagascar,2020,28953556,520,483,406,0.72,2.55,10842,4.866414336118161,2227.9237342228535
Madagascar,2021,29691083,540,43085,494,0.87,3.01,28494,148.59343460122352,191.75813572429115
Madagascar,2022,30437261,562,60632,508,0.89,3,33031,202.71863489950687,162.94012642880298
Madagascar,2023,31195932,563,81405,504,0.89,2.9,45672,264.36780282762504,172.75931301581147
Madagascar,2024,31964956,586,105746,514,0.91,2.88,49430,334.2598062703418,147.87898237463264
