COUNTRY,YEAR,borrowers_smes,loan_accounts_smes,sme_outstanding_deposits_currency,sme_outstanding_loans_currency,depositors_smes,deposit_accounts_smes,outstanding_loan_to_deposit_ratio,loan_to_deposit_acct_ratio,borrowers_to_depositors_ratio
Angola,2020,NULL,NULL,NULL,NULL,240916,651531,NULL,NULL,NULL
Angola,2021,NULL,NULL,NULL,NULL,320422,717201,NULL,NULL,NULL
Angola,2022,NULL,NULL,NULL,NULL,342861,512460,NULL,NULL,NULL
Angola,2023,NULL,NULL,NULL,NULL,419999,629180,NULL,NULL,NULL
Angola,2024,21553,26872,NULL,NULL,355172,668185,NULL,0.04,0.06
Botswana,2020,NULL,NULL,7063548677.25,3522795000,114714,114714,0.5,NULL,NULL
Botswana,2021,NULL,NULL,6568730100,3367579000,152556,152556,0.51,NULL,NULL
Botswana,2022,NULL,NULL,6504890198.69,3631100372.23,175106,175106,0.56,NULL,NULL
Botswana,2023,NULL,NULL,7739100000,3871777000,183508,183508,0.5,NULL,NULL
Botswana,2024,NULL,NULL,10483100805.24,5676635690.18,202990,202990,0.54,NULL,NULL
Comoros,2020,601,782,29537162831.04,21631891868.07,4024,4431,0.73,0.18,0.15
Comoros,2021,819,926,38168203853.1,30267305281.06,4406,4733,0.79,0.2,0.19
Comoros,2022,788,990,38029393090.9,36306101585.69,5536,5942,0.95,0.17,0.14
Comoros,2023,1242,1484,42719280625.55,30759089927.28,5443,7263,0.72,0.2,0.23
Comoros,2024,1683,1851,43869590491.66,33139188446.03,6645,7985,0.76,0.23,0.25
Lesotho,2020,1718,1868,NULL,NULL,34294,37399,NULL,0.05,0.05
Lesotho,2021,1338,1593,NULL,NULL,35229,39304,NULL,0.04,0.04
Lesotho,2022,1644,1824,NULL,NULL,20983,22337,NULL,0.08,0.08
Lesotho,2023,1923,1547,NULL,NULL,34148,38235,NULL,0.04,0.06
Lesotho,2024,2290,2567,NULL,NULL,22307,25778,NULL,0.1,0.1
Madagascar,2020,15427,19619,1910764000000,1356958000000,45556,56727,0.71,0.35,0.34
Madagascar,2021,33272,39613,2570635714066.3,1929629348602.11,65655,86464,0.75,0.46,0.51
Madagascar,2022,25809,40255,3338110715962.88,2371905764609.26,75726,91809,0.71,0.44,0.34
Madagascar,2023,38970,46459,2999141460190.08,2096531088130,73020,90313,0.7,0.51,0.53
Madagascar,2024,41103,51067,3297443298444.3,2311272810192.95,81327,95671,0.7,0.53,0.51
Malawi,2020,11642,13714,143192945483.95,97545278999.25,149504,128579,0.68,0.11,0.08
Malawi,2021,10164,13212,213466953474.41,105073691200.22,106551,106551,0.49,0.12,0.1
Malawi,2022,44345,44345,NULL,NULL,151087,151087,NULL,0.29,0.29
Malawi,2023,80100,80100,NULL,NULL,144423,144423,NULL,0.55,0.55
Malawi,2024,54674,54674,NULL,NULL,147755,147755,NULL,0.37,0.37
Mauritius,2020,13922,23935,39354362857.17,17472893198.23,39142,52406,0.44,0.46,0.36
Mauritius,2021,13448,22991,48077171925.53,18363158243.85,44514,60951,0.38,0.38,0.3
Mauritius,2022,12934,22552,59712550935.82,18664713024.2,46434,63592,0.31,0.35,0.28
Mauritius,2023,14576,25507,59846170809.95,21843462815.61,55100,75386,0.36,0.34,0.26
Mauritius,2024,17634,30169,69796838041.98,30745787761,62812,86899,0.44,0.35,0.28
Namibia,2020,19910,24116,28962224546.57,9393181372.36,64454,70488,0.32,0.34,0.31
Namibia,2021,26142,30241,19428089140.52,10171515630.1,49015,58636,0.52,0.52,0.53
Namibia,2022,25172,28476,20168988119.04,9420601651.28,45788,68318,0.47,0.42,0.55
Namibia,2023,30689,36401,3262456471.83,10601823045.63,93634,112364,3.25,0.32,0.33
Namibia,2024,22406,32389,5003497165.94,12688869218.82,88480,97125,2.54,0.33,0.25
Seychelles,2020,1635,2399,87511852.01,191958686.26,8600,9553,2.19,0.25,0.19
Seychelles,2021,1505,2174,92086332.22,171931305.39,8861,10097,1.87,0.22,0.17
Seychelles,2022,2040,3182,959856157.79,603478075.25,10078,12732,0.63,0.25,0.2
Seychelles,2023,3467,4228,2500949598.32,2319736098.43,10393,13733,0.93,0.31,0.33
Seychelles,2024,3791,4513,2821559473.63,2479430422.29,11628,14618,0.88,0.31,0.33
Zambia,2020,20204,20204,57571405255.09,20204000000,NULL,NULL,0.35,NULL,NULL
Zambia,2021,13827,13827,55617613630,24303948858.44,NULL,NULL,0.44,NULL,NULL
Zambia,2022,16663,16663,67640914000,32931000000,NULL,NULL,0.49,NULL,NULL
Zambia,2023,21888,21888,82114361573.48,49618229024.97,NULL,NULL,0.6,NULL,NULL
Zambia,2024,13615,13615,109730257472.4,58405524381.77,NULL,NULL,0.53,NULL,NULL
Zimbabwe,2020,6689,5396,NULL,NULL,157687,124456,NULL,0.04,0.04
Zimbabwe,2021,10281,10281,NULL,NULL,167917,168917,NULL,0.06,0.06
Zimbabwe,2022,11720,15625,NULL,NULL,249871,219592,NULL,0.07,0.05
Zimbabwe,2023,13127,8307,NULL,NULL,334827,276686,NULL,0.03,0.04
Zimbabwe,2024,11472,11472,NULL,NULL,156133,156133,NULL,0.07,0.07
