COUNTRY,YEAR,registered_mm_accounts,active_mm_accounts,mm_transactions,avg_txn_per_account,pct_of_active_accounts,pct_of_active_accounts_sadc,pct_of_mm_transactions_sadc
Angola,2020,264461,131234,68706,1,49.6,0.5,0.002
Angola,2021,758260,119655,3930982,33,15.8,0.4,0.108
Angola,2022,1481937,212145,13538413,64,14.3,0.5,0.098
Angola,2023,4428807,371984,134752222,362,8.4,0.8,0.842
Angola,2024,7152892,444918,169089707,380,6.2,1.0,1.828
Botswana,2020,2961356,1781971,81811877,46,60.2,6.1,2.025
Botswana,2021,3547139,2018735,89002654,44,56.9,7.2,2.450
Botswana,2022,5271075,2986795,111656177,37,56.7,6.5,0.811
Botswana,2023,4151808,2437673,133087342,55,58.7,5.3,0.832
Botswana,2024,4504445,2696648,158867747,59,59.9,6.1,1.717
Comoros,2020,284802,69587,263896,4,24.4,0.2,0.007
Comoros,2021,444625,73575,515661,7,16.5,0.3,0.014
Comoros,2022,549864,108161,1989437,18,19.7,0.2,0.014
Comoros,2023,662309,154587,3566856,23,23.3,0.3,0.022
Comoros,2024,636536,162413,5533359,34,25.5,0.4,0.060
Eswatini,2020,828981,568973,14423664,25,68.6,2.0,0.357
Eswatini,2021,893872,623663,18685517,30,69.8,2.2,0.514
Eswatini,2022,955066,732159,23669624,32,76.7,1.6,0.172
Eswatini,2023,1121437,681092,28050396,41,60.7,1.5,0.175
Eswatini,2024,1295522,716651,139288957,194,55.3,1.6,1.505
Lesotho,2020,2202601,882212,62740238,71,40.1,3.0,1.553
Lesotho,2021,2160722,1131945,72709307,64,52.4,4.1,2.001
Lesotho,2022,2486279,1280350,85647321,67,51.5,2.8,0.622
Lesotho,2023,2710361,1398563,95156088,68,51.6,3.0,0.595
Lesotho,2024,2572226,1299483,112678657,87,50.5,3.0,1.218
Madagascar,2020,10720419,2590638,350421863,135,24.2,8.9,8.673
Madagascar,2021,11918945,3067880,500707849,163,25.7,11.0,13.781
Madagascar,2022,15807122,3804260,726600830,191,24.1,8.3,5.276
Madagascar,2023,20293326,4820440,923583159,192,23.8,10.4,5.772
Madagascar,2024,24272754,6118287,1266657937,207,25.2,13.9,13.690
Malawi,2020,7574506,5479452,433773953,79,72.3,18.9,10.736
Malawi,2021,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Malawi,2022,12156986,7060059,1002381234,142,58.1,15.5,7.278
Malawi,2023,12678764,8099749,1316144808,162,63.9,17.5,8.225
Malawi,2024,16176574,9540460,1847485655,194,59.0,21.7,19.968
Mauritius,2020,211906,153287,1267530,8,72.3,0.5,0.031
Mauritius,2021,190221,144388,3088206,21,75.9,0.5,0.085
Mauritius,2022,206294,152947,4000905,26,74.1,0.3,0.029
Mauritius,2023,238083,207642,5619323,27,87.2,0.4,0.035
Mauritius,2024,300262,274689,8559482,31,91.5,0.6,0.093
Mozambique,2020,10833801,NULL,703650842,NULL,NULL,NULL,17.415
Mozambique,2021,11495233,NULL,880898764,NULL,NULL,NULL,24.245
Mozambique,2022,11975063,NULL,1058638720,NULL,NULL,NULL,7.687
Mozambique,2023,16748130,NULL,1701006915,NULL,NULL,NULL,10.630
Mozambique,2024,20462587,NULL,2521465357,NULL,NULL,NULL,27.252
Namibia,2020,2132624,1351725,16483829,12,63.4,4.7,0.408
Namibia,2021,3438280,2096002,11408819,5,61.0,7.5,0.314
Namibia,2022,3486102,2362509,14396795,6,67.8,5.2,0.105
Namibia,2023,5213158,2800912,18302997,7,53.7,6.1,0.114
Namibia,2024,4133270,3617052,31816109,9,87.5,8.2,0.344
Seychelles,2020,1798,302,156156,517,16.8,0.0,0.004
Seychelles,2021,1827,275,392555,1427,15.1,0.0,0.011
Seychelles,2022,1576,132,103020,780,8.4,0.0,0.001
Seychelles,2023,907,34,58466,1720,3.7,0.0,0.000
Seychelles,2024,19930,552,53592,97,2.8,0.0,0.001
"South Africa",2020,3020583,2203802,475282,0,73.0,7.6,0.012
"South Africa",2021,5544250,4619106,NULL,NULL,83.3,16.6,NULL
"South Africa",2022,8211335,7883379,NULL,NULL,96.0,17.3,NULL
"South Africa",2023,11107689,3361145,7600172,2,30.3,7.3,0.047
"South Africa",2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Zambia,2020,19271567,8609265,711156958,83,44.7,29.7,17.601
Zambia,2021,19268270,9867409,834121817,85,51.2,35.4,22.958
Zambia,2022,15917092,11246686,1581355224,141,70.7,24.6,11.482
Zambia,2023,17486989,12947310,2242443898,173,74.0,28.0,14.014
Zambia,2024,14650368,12328755,2990936749,243,84.2,28.1,32.326
Zimbabwe,2020,13818678,5201677,1663736760,320,37.6,17.9,41.177
Zimbabwe,2021,12934649,4129470,1217852036,295,31.9,14.8,33.519
Zimbabwe,2022,21230666,7840317,9148025410,1167,36.9,17.2,66.425
Zimbabwe,2023,31142012,8974125,9392413658,1047,28.8,19.4,58.696
Zimbabwe,2024,14801342,6712554,NULL,NULL,45.4,15.3,NULL
