Series Code,Country Name,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
SP.POP.TOTL,Zambia,19059395,19603607,20152938,20723965,21314956
SP.POP.TOTL,Zimbabwe,15526888,15797210,16069056,16340822,16634373
SP.POP.TOTL,South Africa,60562381,61502603,62378410,63212384,64007187
SP.POP.TOTL,Seychelles,98462,99258,119878,119773,121354
SP.POP.TOTL,Namibia,2728762,2810548,2889662,2963095,3030131
SP.POP.TOTL,Mozambique,30783688,31707800,32656246,33635160,34631766
SP.POP.TOTL,Mauritius,1266014,1266334,1262523,1261041,1259509
SP.POP.TOTL,Malawi,19533888,20047258,20568728,21104482,21655286
SP.POP.TOTL,Lesotho,2235727,2261542,2286110,2311472,2337423
SP.POP.TOTL,Eswatini,1192729,1206593,1218917,1230506,1242822
SP.POP.TOTL,Comoros,802163,818174,834188,850387,866628
SP.POP.TOTL,Botswana,2365894,2401441,2439892,2480244,2521139
SP.POP.TOTL,Angola,33451132,34532429,35635029,36749906,37885849
SP.POP.TOTL,Madagascar,28953556,29691083,30437261,31195932,31964956
